timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 16, 2025 @ 03:00:14.563",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:14.569",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 00:00:03.438",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 00:00:03.449",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 04:00:03.820",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 04:00:03.820",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:14.583",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:14.589",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:18.456",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:02.310",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 04:56:03.084",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:07:14.868",hera.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 04:04:46.989",clavo.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 04:07:16.416",hera.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 08:00:02.885",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 08:00:02.887",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 08:00:04.654",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 08:30:01.909",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 08:30:02.112",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 08:30:03.458",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 07:35:02.614",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 07:35:02.656",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 08:05:02.493",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 07:56:32.280",hera.ugr.es,New group added to the system.,8,5901
"Jun 16, 2025 @ 08:35:02.204",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 08:04:47.439",clavo.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 07:04:47.232",clavo.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 08:07:15.540",hera.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 10:07:03.374",hera.ugr.es,Integrity checksum changed.,7,550
"Jun 16, 2025 @ 10:07:07.990",hera.ugr.es,Integrity checksum changed.,7,550
"Jun 16, 2025 @ 10:27:31.311",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 10:05:02.984",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 10:35:03.393",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 10:30:03.094",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 10:27:19.243",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 11:00:04.861",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 11:05:03.204",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 12:30:02.212",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 12:30:03.900",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 12:01:55.106",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.106",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.148",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.148",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.151",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.167",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.176",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.219",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.223",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:01:55.231",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.190",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.190",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.208",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.227",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.227",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.245",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.245",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.245",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.282",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:45.324",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:27.173",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:27.173",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:27.191",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:27.191",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:27.210",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:27.234",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:27.280",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:27.280",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:29.155",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:02:29.186",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:05:03.471",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 12:56:02.509",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 12:13:16.131",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.131",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.131",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.131",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.150",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.150",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.150",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.173",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.237",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.256",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.256",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:13:16.256",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.327",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.327",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.327",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.327",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.373",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.373",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.373",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.379",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.383",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.404",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.441",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.454",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:04:23.459",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 12:35:02.540",hera2,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 15:00:02.483",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 16, 2025 @ 15:00:02.548",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 15:00:02.548",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 14:05:01.926",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 14:05:01.968",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 14:05:03.388",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 14:05:03.388",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 14:56:02.212",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 14:35:03.742",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 14:30:03.529",hera2,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 15:35:43.857",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 15:35:43.857",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 15:35:43.857",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 15:35:43.857",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 15:35:43.875",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 15:35:43.916",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 15:35:43.934",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 15:35:43.953",hera.ugr.es,Samba connection denied.,5,13102
"Jun 16, 2025 @ 16:00:04.142",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 16, 2025 @ 15:07:25.164",hera.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 16:07:24.872",hera.ugr.es,ClamAV database update,3,52507
"Jun 16, 2025 @ 02:00:03.050",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 00:56:02.948",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 01:56:02.840",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 02:56:03.784",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 01:00:05.021",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 02:00:05.072",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 02:02:02.504",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 16, 2025 @ 00:03:31.076",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 16, 2025 @ 00:46:34.998",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 16, 2025 @ 01:00:03.028",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 16, 2025 @ 06:00:03.078",hera2,PAM: Login session opened.,3,5501
